"Propiedades de la ubicación"
"Nombre de la ubicación = Sin nombre"
"Identificación de ubicación = 7df69ec8-72e3-4a21-a514-9c4efcb05c96"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 13:58:22"
"Duración = 34.20:01:38"
"Lecturas = 1675"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 969970"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1003230"
""
"Propiedades del registro"
"Nombre del registro = Registro_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 3"
"Identificación del registro = fbbb46ba-3945-4e73-ad13-7c5844b2b255"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 969970",,,,,,"Aqua TROLL 500 1003230",,,,,,
"Fecha Hora","Latitud (°) (969970)","Longitud (°) (969970)","Elevación (m) (969970)","Temperatura (°C) (969970)","Capacidad de la batería (%) (969970)","Presión barométrica (mm Hg) (969970)","Concentración RDO (mg/L) (1003620)","Nitrato (NO₃⁻ - N) (mg/L) (983048)","pH (pH) (982972)","ORP (mV) (982972)","Conductividad real (µS/cm) (1001986)","Temperatura (°C) (1003230)","Profundidad (ft) (997881)"
"2023-04-01 09:00:00","41.74715","1.84424","301.5","12.38472","98.86784","738.1779","10.81994","0.2288805","8.975157","154.3076","405.1124","16.07453","2.625724"
"2023-04-01 09:30:00","41.74727","1.844258","323.6","12.74937","98.86337","738.1728","10.83562","0.2257726","8.976521","153.6687","405.0818","16.04348","2.647485"
"2023-04-01 10:00:00","41.74667","1.844417","265.1","13.4465","98.85812","738.1591","10.84493","0.2320782","8.978848","154.4077","402.9952","16.03169","2.644265"
"2023-04-01 10:30:00","41.74717","1.844252","279.8","14.64771","98.85207","738.19","10.9346","0.2354825","8.98546","158.6015","404.0196","16.04254","2.632668"
"2023-04-01 11:00:00","41.74704","1.844233","293","15.20542","98.84628","738.1776","10.99272","0.2302751","8.995338","154.5603","403.9679","16.08484","2.630656"
"2023-04-01 11:30:00","41.74711","1.844187","303.6","14.84076","98.83944","738.2783","11.10892","0.2399257","9.016324","155.3233","418.688","16.15183","2.638107"
"2023-04-01 12:00:00","41.7473","1.844335","286.9","14.59409","98.83286","738.0276","11.20645","0.2414207","9.014039","151.3751","419.9383","16.34594","2.645578"
"2023-04-01 12:30:00","41.74699","1.84448","256.8","15.7095","98.82734","737.7791","11.20336","0.2618121","9.02622","152.889","414.8896","16.51413","2.640163"
"2023-04-01 13:00:00","41.74715","1.844318","296.1","16.4817","98.81313","737.287","11.33456","0.2583117","9.032169","150.9102","422.4364","16.50304","2.652012"
"2023-04-01 13:30:00","41.74716","1.84459","264.3","17.37189","98.80734","736.8889","11.5489","0.2547818","9.055111","154.8655","422.0077","16.44323","2.647996"
"2023-04-01 14:00:00","41.74703","1.84437","291.9","18.55165","98.80209","736.2846","11.53194","0.2495266","9.051296","152.1309","422.3411","16.51673","2.641675"
"2023-04-01 14:30:00","41.74644","1.844485","224.7","19.78503","98.79656","736.1304","11.72701","0.2695952","9.064635","153.8713","416.8824","16.82796","2.639136"
"2023-04-01 15:00:00","41.74704","1.844147","283.1","19.90301","98.7913","736.0125","11.92039","0.2711419","9.067404","151.8304","413.2979","16.51394","2.632992"
"2023-04-01 15:30:00","41.74713","1.844137","300.1","21.21147","98.78156","735.5593","11.85858","0.2820156","9.073527","151.964","418.1356","17.04569","2.627434"
"2023-04-01 16:00:00","41.74715","1.844163","282.5","21.08277","98.77551","735.2491","11.87355","0.2933384","9.085725","151.2559","417.429","17.06982","2.626322"
"2023-04-01 16:30:00","41.74717","1.844247","297","20.77174","98.76841","734.8131","12.07283","0.302969","9.091411","150.9435","422.642","16.85887","2.636929"
"2023-04-01 17:00:00","41.74721","1.844172","293.1","20.06389","98.75842","734.7762","12.12326","0.3193968","9.091986","151.778","422.3123","16.92268","2.632399"
"2023-04-01 17:30:00","41.74708","1.844263","288.7","19.92446","98.75368","734.3714","12.01643","0.3255739","9.091783","150.512","422.9219","17.00962","2.633446"
"2023-04-01 18:00:00","41.74732","1.844167","313.3","19.95663","98.74369","734.0477","12.00805","0.3271109","9.092685","151.3131","423.4432","17.12434","2.643751"
