"Propiedades de la ubicación"
"Nombre de la ubicación = Unnamed"
"Identificación de ubicación = 99b19a22-da0c-4101-883b-8835c7c43bcb"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 12:50:25"
"Duración = 34.21:09:35"
"Lecturas = 1676"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 970485"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1002779"
""
"Propiedades del registro"
"Nombre del registro = Log_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 2"
"Identificación del registro = 6536ec03-c5f3-4c88-8b6f-1b61dd267e56"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 970485",,,"Aqua TROLL 500 1002779",,,,,,,
"Fecha Hora","Temperatura (°C) (970485)","Capacidad de la batería (%) (970485)","Presión barométrica (mm Hg) (970485)","Turbidez (NTU) (1001626)","Fluorescencia de BGA-PE (algas verdiazules-ficoeritrina) (RFU) (1005408)","Fluorescencia de BGA-PC (algas verdiazules-ficocianina) (RFU) (1008102)","Fluorescencia de clorofila-a (RFU) (1005345)","Temperatura (°C) (1002779)","Voltaje externo (V) (1002779)","Presión (psi) (997880)","Profundidad (ft) (997880)"
"2023-04-01 21:30:00","15.51645","98.37936","735.3743","0.01855127","0","0.5958537","2.29189","16.7998","15.696","1.329777","3.695545"
"2023-04-01 22:00:00","14.89439","98.37727","735.6585","0.3830621","0","0.6172025","2.315254","16.76581","15.687","1.329892","3.695829"
"2023-04-01 22:30:00","14.04711","98.37411","735.4189","0.1741311","0","0.5663525","2.396815","16.73685","15.714","1.33131","3.699077"
"2023-04-01 23:00:00","12.78154","98.37173","735.5653","0.5496796","0","0.5841914","2.34442","16.7218","15.696","1.333257","3.70352"
"2023-04-01 23:30:00","11.92354","98.36832","735.8163","0","0","0.5986946","2.214028","16.69315","15.705","1.327761","3.690772"
"2023-04-02 00:00:00","11.59106","98.36595","735.7275","0","0","0.57089","2.152539","16.62555","15.723","1.333033","3.703073"
"2023-04-02 00:30:00","10.86175","98.36306","735.6708","0.3352675","0","0.5516143","2.385079","16.55634","15.678","1.32984","3.695633"
"2023-04-02 01:00:00","10.26115","98.36069","735.7797","0.09144322","0","0.5428373","2.453529","16.50406","15.696","1.331314","3.698979"
"2023-04-02 01:30:00","9.639091","98.35859","735.3354","0.1755028","0","0.5382721","2.385365","16.46298","15.687","1.332895","3.702728"
"2023-04-02 02:00:00","9.00631","98.35569","735.2609","0.0884792","0","0.5361083","2.456815","16.42029","15.696","1.333184","3.703197"
"2023-04-02 02:30:00","8.877609","98.35332","735.4293","0.03358976","0","0.5512494","2.506355","16.39267","15.687","1.333239","3.703515"
"2023-04-02 03:00:00","8.888336","98.35043","735.5908","0.2822276","0","0.4709074","2.462341","16.35513","15.678","1.336453","3.710745"
"2023-04-02 03:30:00","8.588032","98.34833","735.5818","0","0","0.5091071","2.425347","16.29791","15.714","1.332949","3.702815"
"2023-04-02 04:00:00","7.91235","98.34491","735.5395","0","0","0.5127138","2.480007","16.28073","15.678","1.332656","3.702069"
"2023-04-02 04:30:00","7.526245","98.3428","735.524","0","0","0.4819964","2.05875","16.24625","15.678","1.331012","3.698193"
"2023-04-02 05:00:00","7.440445","98.33991","735.625","0","0","0.5501861","2.424606","16.20886","15.714","1.334346","3.706027"
"2023-04-02 05:30:00","7.118694","98.33781","735.6876","0.08121332","0","0.5449328","2.274063","16.16891","15.714","1.332684","3.702049"
"2023-04-02 06:00:00","6.81839","98.33596","735.7638","0.1459673","0","0.5164459","2.344548","16.1355","15.705","1.334733","3.706972"
"2023-04-02 06:30:00","4.920048","98.33281","735.9714","0","0","0.5295984","2.283644","16.07913","15.669","1.343765","3.7275"
"2023-04-02 07:00:00","4.180016","98.32991","736.1097","0.02812616","0","0.5069767","2.240549","16.02997","15.687","1.336058","3.70991"
"2023-04-02 07:30:00","3.761738","98.32229","736.4146","0","0","0.4900167","2.494826","15.97812","15.687","1.336265","3.710387"
"2023-04-02 08:00:00","3.804638","98.32018","736.534","0.174394","0","0.4893402","2.462124","15.90921","15.678","1.330671","3.697603"
"2023-04-02 08:30:00","3.954788","98.31729","736.6548","0","0","0.5447237","2.297561","15.85913","15.678","1.332957","3.702829"
"2023-04-02 09:00:00","5.005848","98.31519","736.9307","0.03480728","0","0.5218704","2.068628","15.81","15.687","1.331853","3.700211"
"2023-04-02 09:30:00","8.309177","98.31229","736.8781","0","0","0.5305495","1.979671","15.75607","15.687","1.331042","3.698444"
"2023-04-02 10:00:00","9.671268","98.31045","737.0094","12.3075","0","0.5811192","1.982747","15.74792","15.687","1.328918","3.693581"
"2023-04-02 10:30:00","10.87248","98.30676","736.9215","0.04592006","0","0.5431788","1.555232","15.74329","15.696","1.335739","3.709181"
"2023-04-02 11:00:00","11.66613","98.3044","736.8951","0.004425684","0","0.5767848","1.576462","15.81506","15.696","1.330482","3.697114"
"2023-04-02 11:30:00","12.92097","98.30151","736.8436","0.1707569","0","0.5998843","1.56509","15.89716","15.696","1.329303","3.694395"
"2023-04-02 12:00:00","13.76825","98.2994","736.8693","0.1437128","0","0.591884","1.516374","15.94543","15.714","1.331682","3.699954"
"2023-04-02 12:30:00","14.74424","98.29729","736.6596","0","0","0.6071421","1.512847","15.99109","15.714","1.333707","3.704493"
"2023-04-02 13:00:00","15.43064","98.29414","736.5345","0","0","0.589294","1.553991","16.022","15.696","1.33042","3.696907"
"2023-04-02 13:30:00","16.0956","98.29204","736.3395","0","0","0.6348844","1.617695","16.07751","15.696","1.331335","3.699077"
"2023-04-02 14:00:00","16.83563","98.28861","735.9465","0","0","0.6174544","1.559551","16.10754","15.696","1.329085","3.693833"
"2023-04-02 14:30:00","17.73654","98.28651","735.8281","0.1773216","0","0.6123604","1.46294","16.15427","15.687","1.332364","3.701396"
"2023-04-02 15:00:00","18.39077","98.28336","735.4944","0","0","0.6254826","1.454462","16.24454","15.696","1.32779","3.690948"
"2023-04-02 15:30:00","19.17371","98.28099","735.1588","0","0","0.6388266","1.242481","16.31915","15.696","1.331549","3.699575"
"2023-04-02 16:00:00","20.18186","98.27757","734.7354","0.5944493","0","0.5811676","2.002537","16.314","15.705","1.330379","3.696824"
"2023-04-02 16:30:00","20.35346","98.27546","734.6325","0","0","0.5619421","2.118485","16.36987","15.696","1.332511","3.7018"
"2023-04-02 17:00:00","20.64304","98.27336","734.6354","0.1222372","0","0.5991222","1.550925","16.48367","15.696","1.329357","3.694466"
"2023-04-02 17:30:00","20.52506","98.2702","734.9143","0.2555191","0","0.5965143","1.762468","16.48758","15.696","1.333576","3.704186"
"2023-04-02 18:00:00","19.66706","98.2681","735.1976","0","0","0.5836397","2.145515","16.45224","15.705","1.3264","3.687548"
"2023-04-02 18:30:00","19.09863","98.26494","735.4603","0.2015619","0","0.5812696","1.66071","16.42654","15.705","1.32833","3.692"
